"drug","synonym"
"gabapentin.","Gabarone"
"methotrexate.","Rheumatrex"
"methotrexate.","Trexall"
"methotrexate.","Otrexup"
"methotrexate.","Rasuvo"
"methotrexate.","Methotrexate Sodium."
"lisinopril.","Zestril"
"lisinopril.","Prinivil"
"lisinopril.","Qbrelis."
"vitamin d3","Cholecalciferol"
"vitamin d3","Sun-D"
"vitamin d3","Calciol"
"repatha","Evolocumab"
"repatha","Repatha"
"repatha","Praluent"
"cosentyx","Sécurise"
"cosentyx","Cosentyx"
"cosentyx","Scynify"
"cosentyx","Lexitra"
"acetaminophen","Tylenol"
"acetaminophen","Panadol"
"acetaminophen","Paracetamol"
"dexamethasone.","Decadron"
"dexamethasone.","Ozurdex"
"dexamethasone.","Maxidex"
"dexamethasone.","Dexpak"
"prolia","Xgeva"
"prolia","Denosumab"
"proactiv md deep cleansing face wash","Proactiv MD Deep Cleansing Face Wash"
"omeprazole","Prilosec"
"omeprazole","Losec"
"omeprazole","Prilosec OTC"
"omeprazole","Omesec"
"omeprazole","Ultop"
"omeprazole","Zegerid"
"avonex","Rebif"
"avonex","Interferon beta-1a"
"tylenol","Panadol"
"tylenol","Acetaminophen"
"tylenol","Paracetamol"
"tylenol","Excedrin"
"lasix","Furosemide"
"lasix","Diurin"
"lasix","Froop"
"lasix","Frusehexal"
"lasix","Frusol"
"lasix","Frudix"
"lasix","Fulsix"
"lasix","F-gen"
"lasix","Oedemex"
"lasix","Frusenex"
"calcium","Caltrate"
"calcium","Tums"
"calcium","Oscal"
"calcium","Citracal"
"calcium","Rolaids."
"otezla","Apremilast"
"otezla","Otezla"
"proactiv md daily oil control spf 30","Proactiv MD Daily Oil Control SPF 30"
"proactiv md daily oil control spf 30","reef safe sunscreen"
"mirena","Levonorgestrel-releasing Intrauterine System"
"mirena","LNG-IUS"
"mirena","Skyla"
"mirena","Kyleena."
"lisinopril","Prinivil"
"lisinopril","Zestril"
"lisinopril","Qbrelis"
"lisinopril","Acerbon"
"lisinopril","Linopril"
"lisinopril","Tensopril"
"furosemide.","Lasix"
"furosemide.","Frusemide"
"spiriva","Spiriva"
"spiriva","Tiotropium"
"ranitidine.","Zantac"
"ranitidine.","Acid Reducer"
"ranitidine.","Rani 2"
"ranitidine.","Wal-Zan"
"ranitidine.","Taladine"
"dexamethasone","Decadron"
"dexamethasone","Maxidex"
"dexamethasone","Dexasone"
"dexamethasone","Ozurdex"
"dexamethasone","Hexadrol"
"dexamethasone","DexPak"
"folic acid","Folate"
"folic acid","Vitamin B9"
"folic acid","Pteroylglutamic Acid"
"folic acid","Folacin"
"lantus","Toujeo"
"lantus","Basaglar"
"lantus","Levemir"
"lantus","Novolin N"
"lantus","Humulin N"
"tecfidera","BG-12"
"tecfidera","Dimethyl fumarate"
"tecfidera","Vumerity"
"cymbalta","Duloxetine"
"cymbalta","Irenka"
"crestor","Rosuvastatin"
"crestor","Lipitor"
"crestor","Zocor"
"crestor","Pravachol"
"crestor","Lescol"
"crestor","Mevacor"
"crestor","Livalo"
"entresto","Valsartan/sacubitril (Entresto)"
"entresto","LCZ696"
"furosemide","Lasix"
"furosemide","Frusemide"
"furosemide","Dimazon"
"furosemide","Diural"
"furosemide","Froop"
"plavix","Clopidogrel"
"plavix","Iscover"
"plavix","Ceruvin"
"plavix","Epar"
"plavix","Efient"
"folic acid.","Folacin"
"folic acid.","Folate"
"folic acid.","Vitamin B9"
"folic acid.","Folbee"
"folic acid.","Foltx"
"folic acid.","Metafolin"
"folic acid.","L-methylfolate."
"gabapentin","Neurontin"
"gabapentin","Gralise"
"gabapentin","Horizant"
"forteo","Teriparatide"
"humalog","Lispro"
"humalog","Humalog"
"humalog","Admelog"
"prilosec","Losec"
"prilosec","Omeprazole"
"prilosec","Prilosec OTC"
"orencia","Abatacept"
"orencia","Orencia"
"orencia","Orencia ClickJect"
"simvastatin.","Zocor"
"simvastatin.","Lipex"
"simvastatin.","Simcor"
"simvastatin.","Simvacor"
"simvastatin.","Simlup"
"vitamin b12","Cyanocobalamin"
"vitamin b12","Hydroxocobalamin"
"vitamin b12","Methylcobalamin"
"vitamin b12","Cobalamin"
"vitamin b12","Cyanide Antidote"
"vitamin b12","Vitamin B12 Fortical"
"xeljanz","Tofacitinib"
"avandia","Rosiglitazone"
"avandia","Avandia"
"oxycodone","OxyContin"
"oxycodone","Percocet"
"oxycodone","Roxicodone"
"oxycodone","Endocet"
"oxycodone","Xtampza ER"
"oxycodone","OxyIR"
"rituximab","MabThera"
"rituximab","Rituxan"
"rituximab","Truxima"
"rituximab","Ritempra"
"celebrex","Celecoxib"
"ondansetron","Zofran"
"ondansetron","Emeset"
"ondansetron","Ondazine"
"ondansetron","Emetron"
"ondansetron","Setron"
"ondansetron","Vomiof"
"simvastatin","Zocor"
"simvastatin","FloLipid"
"ibuprofen.","Advil"
"ibuprofen.","Motrin"
"ibuprofen.","Nurofen"
"ibuprofen.","Advil Liqui-Gels"
"ibuprofen.","Caldolor"
"xanax","Alprazolam"
"xanax","Niravam"
"xanax","Xanor"
"xanax","Alprazolan"
"levothyroxine.","Synthroid"
"levothyroxine.","Levoxyl"
"levothyroxine.","Tirosint"
"levothyroxine.","Unithroid"
"levothyroxine.","Euthyrox"
"sertraline","Zoloft"
"sertraline","Lustral"
"sertraline","Serlain"
"sertraline","Eleva"
"sertraline","Concorz"
"singulair","Montelukast"
"singulair","Montemax"
"singulair","Lukair"
"singulair","Monas"
"singulair","Ruscow"
"singulair","Montene"
"singulair","Aropect"
"singulair","Doctair"
"singulair","Montiva"
"singulair","Rekulast"
"singulair","Ridlist."
"bisoprolol","Zebeta"
"bisoprolol","Concor"
"bisoprolol","Cardicor"
"bisoprolol","Emcor"
"bisoprolol","Bisocard"
"cyclophosphamide","Cytoxan"
"cyclophosphamide","Neosar"
"cyclophosphamide","Procytox"
"cyclophosphamide","Revimmune"
"cyclophosphamide","Clafen"
"paracetamol","Tylenol"
"paracetamol","Panadol"
"paracetamol","Acetaminophen"
"paracetamol","Excedrin"
"symbicort","Pulmicort"
"symbicort","Formoterol"
"symbicort","Budesonide"
"symbicort","Asthmacort"
"symbicort","Vannair"
"symbicort","Butacort"
"symbicort","Symbicort Forte"
"ibuprofen","Advil"
"ibuprofen","Motrin"
"ibuprofen","Nurofen"
"ibuprofen","Advil Liqui-Gels"
"ibuprofen","Brufen"
"ibuprofen","Calprofen"
"ibuprofen","Midol IB"
"ibuprofen","Nuprin"
"ibuprofen","Rufen."
"metoprolol","Lopressor"
"metoprolol","Toprol XL"
"metoprolol","Betaloc"
"metoprolol","Beloc"
"metoprolol","Seloken."
"metoprolol.","Lopressor"
"metoprolol.","Toprol XL"
"metoprolol.","Betaloc"
"metoprolol.","Seloken."
"stelara","Here are some common brand names or synonyms for 'stelara': ustekinumab."
"percocet","Endocet"
"percocet","Roxicet"
"percocet","Tylox"
"percocet","Percodan"
"prednisolone","Prelone"
"prednisolone","Orapred"
"prednisolone","Millipred"
"prednisolone","Millipred DP"
"prednisolone","Pediapred"
"prednisolone","Delta-Cortef"
"neulasta","Pegfilgrastim"
"neulasta","Fulphila"
"neulasta","Udenyca"
"neulasta","Ziextenzo."
"fish oil","Lovaza"
"fish oil","Lovaza Omega-3-Acid Ethyl Esters"
"fish oil","Omega-3 Polyunsaturated Fatty Acids"
"fish oil","Omega-3 Fatty Acids"
"protonix","Pantoprazole"
"protonix","Protonix"
"protonix","Panixine"
"zyrtec","Reactine"
"zyrtec","Cetrizine"
"zyrtec","Aller-Tec"
"coumadin","Jantoven"
"coumadin","Marevan"
"coumadin","Warfarin sodium"
"gilenya","Fingolimod"
"cimzia","Cimzia"
"cimzia","Certolizumab pegol"
"dilaudid","Hydromorphone"
"dilaudid","Exalgo"
"levothyroxine","Eltroxin"
"levothyroxine","Euthyrox"
"levothyroxine","Levo-T"
"levothyroxine","Levoxyl"
"levothyroxine","Synthroid"
"levothyroxine","Unithroid"
"ibrance","Palbociclib"
"ibrance","Pabociclib"
"ibrance","Ibrance"
"ibrance","COSMIC-1"
"warfarin","Coumadin"
"warfarin","Jantoven"
"warfarin","Marevan"
"warfarin","Lawarin"
"warfarin","Warfant"
"vitamin c","Ascorbic Acid"
"vitamin c","L-ascorbic acid"
"vitamin c","Ester-C"
"vitamin c","Sodium Ascorbate"
"vitamin c","Calcium Ascorbate"
"pomalyst","Imnovid"
"pomalyst","Actimid"
