"drug","synonym"
"lipitor","Torvast"
"lipitor","Atorlip"
"lipitor","Sortis"
"lipitor","Torid"
"lipitor","Liptor."
"synthroid","levothyroxine sodium"
"synthroid","Levoxyl"
"synthroid","Tirosint"
"synthroid","Unithroid"
"synthroid","Euthyrox"
"synthroid","Eutirox"
"pantoprazole","Protonix"
"pantoprazole","Helix"
"pantoprazole","Panto"
"pantoprazole","Tecta"
"pantoprazole","Pantoloc"
"omeprazole.","Prilosec"
"omeprazole.","Losec"
"omeprazole.","Zegerid"
"omeprazole.","Omez"
"oxycontin","Oxycodone sustained-release"
"oxycontin","OxyIR"
"oxycontin","OxyFast"
"oxycontin","Oxy 20"
"oxycontin","Oxy 30"
"oxycontin","Oxy 40"
"oxycontin","Oxy 80"
"oxycontin","OxyContin"
"oxycontin","OxyContin CR"
"oxycontin","OxyNEO"
"nexium","Esomeprazole"
"nexium","Nexium"
"nexium","Esotid"
"nexium","Nexpro"
"nexium","Izra"
"nexium","Nexx"
"remicade","Inflectra"
"remicade","Infliximab"
"remicade","Renflexis."
"vitamin d","Calciferol"
"vitamin d","D3"
"vitamin d","Cholecalciferol"
"vitamin d","Ergocalciferol"
"vitamin d","Vitamin D2."
"gabapentin.","Neurontin"
"gabapentin.","Gralise"
"gabapentin.","Horizant."
"methotrexate.","Rheumatrex"
"methotrexate.","Trexall"
"methotrexate.","Amethopterin"
"lisinopril.","Prinivil"
"lisinopril.","Zestril"
"vitamin d3","Cholecalciferol"
"vitamin d3","Calciol"
"vitamin d3","Drisdol"
"vitamin d3","Delta-D3"
"vitamin d3","D3-50"
"vitamin d3","Decara"
"repatha","evolocumab"
"cosentyx","Taltz"
"cosentyx","secukinumab"
"acetaminophen","Tylenol"
"acetaminophen","Panadol"
"acetaminophen","Paracetamol"
"acetaminophen","Calpol"
"acetaminophen","FeverAll"
"dexamethasone.","Decadron"
"dexamethasone.","Ozurdex"
"dexamethasone.","Dexasone"
"dexamethasone.","Maxidex"
"dexamethasone.","DexPak"
"prolia","Xgeva"
"prolia","Denosumab"
"proactiv md deep cleansing face wash","Proactiv MD Deep Cleansing Face Wash"
"proactiv md deep cleansing face wash","AcneFree Oil-Free Acne Cleanser"
"proactiv md deep cleansing face wash","Neutrogena Deep Clean Facial Cleanser."
"omeprazole","Losec"
"omeprazole","Prilosec"
"omeprazole","Omesec"
"omeprazole","Zegerid"
"omeprazole","Gastrogard."
"avonex","Rebif"
"avonex","Betaseron"
"avonex","Extavia"
"avonex","Plegridy"
"avonex","Avonex Pen"
"tylenol","Aceta"
"tylenol","Actamin"
"tylenol","Apetamin"
"tylenol","Atasol"
"tylenol","Cetafen"
"tylenol","Feverall"
"tylenol","Genapap"
"tylenol","Liquiprin"
"tylenol","Mapap"
"tylenol","Panadol"
"tylenol","Tempra"
"tylenol","Valorin"
"tylenol","Xarpe"
"lasix","Furosemide"
"lasix","Diural"
"lasix","Errolon"
"lasix","Frusol"
"lasix","Fuluvamide"
"lasix","Frumax"
"calcium","Tums"
"calcium","Rolaids"
"calcium","Oscal"
"calcium","Caltrate"
"calcium","Citracal"
"calcium","Maalox"
"calcium","Mylanta."
"otezla","Apremilast"
"proactiv md daily oil control spf 30","Proactiv MD Daily Oil Control SPF 30"
"proactiv md daily oil control spf 30","Daily Oil Control SPF 30"
"mirena","Levosert"
"mirena","Kyleena"
"mirena","Jaydess"
"lisinopril","Prinivil"
"lisinopril","Zestril"
"lisinopril","Qbrelis."
"furosemide.","Lasix"
"furosemide.","Frusemide"
"furosemide.","Diural"
"furosemide.","Froop"
"furosemide.","Frusenex"
"furosemide.","Furosemide Sodium"
"spiriva","Spiriva HandiHaler"
"spiriva","Spiriva Respimat"
"ranitidine.","Zantac"
"ranitidine.","Acid Reducer"
"ranitidine.","Ranitidine Hydrochloride"
"ranitidine.","Bismarck Brown"
"dexamethasone","Decadron"
"dexamethasone","Ozurdex."
"folic acid","Folvite"
"folic acid","Folacin"
"folic acid","Pteroylglutamic acid"
"folic acid","Vitamin B9"
